clusterIndex,Longitude,Latitude,SOG,COG
1,-14.0321,8.3154,14.7,291
1,-14.0111833,8.31271667,15.2,294
1,-14.0769,8.32733333,12.2,295
1,-14.08885,8.3307,14.5,292
1,-14.0075667,8.31275,12.9,291
1,-13.9981833,8.30915,15,292
1,-14.00235,8.3104,14.9,293
1,-14.0534833,8.32111667,14.7,291
1,-14.0135333,8.31356667,14.9,292
1,-14.0007667,8.30953333,15.2,294
1,-14.0265,8.31793333,12.9,293
1,-14.0193167,8.3151,14.9,291
1,-13.9971167,8.31006667,16.5,292.1
1,-14.0216,8.31648333,12.9,292
1,-14.0715667,8.33088333,14.3,295.2
1,-14.0303833,8.31821667,14.9,293
1,-14.0689333,8.32521667,14.5,292
1,-13.9993167,8.3095,15,293
1,-14.0048833,8.30806667,14.7,291
1,-14.0307167,8.31915,12.9,293
1,-14.0637667,8.32338333,12.2,294
1,-14.0747833,8.32685,14.6,291
1,-14.05905,8.3272,14.1,294.5
1,-14.0351667,8.31998333,15.2,294
1,-14.0357167,8.32046667,12.9,291
1,-14.0207667,8.31625,12.9,292
1,-14.013,8.31328333,15.2,294
1,-14.0524167,8.32478333,12.9,291
1,-14.03405,8.32003333,12.9,291
1,-14.02905,8.31868333,12.9,293
1,-13.9946333,8.30531667,14.7,292
1,-14.017,8.31448333,14.9,291
1,-14.0599,8.32745,14.2,294.5
1,-14.0667,8.32463333,14.7,291
1,-14.0773667,8.32746667,14.5,290
1,-14.0706,8.33058333,14.3,294.8
1,-14.0255,8.31763333,12.9,293
1,-14.0280667,8.31838333,12.9,293
1,-14.0730167,8.33131667,14.1,295.1
1,-14.0705167,8.32535,12.2,294
1,-13.99085,8.30715,15,291
1,-14.05775,8.32685,14.4,294.7
1,-14.0765333,8.33236667,14.1,295.5
1,-14.03345,8.31573333,14.8,291
1,-14.0498,8.32453333,14.4,294.9
1,-14.0749667,8.32686667,14.5,291
1,-14.0584167,8.32248333,14.6,292
1,-14.0442,8.32286667,14.3,297.3
1,-14.08288,8.33244,14.6,290.9
1,-14.03885,8.32123333,12.9,290
1,-14.0569,8.32206667,14.7,292
1,-14.0896,8.3309,14.5,292
1,-14.0395833,8.32131667,15.2,294
1,-14.0706,8.33058333,14.3,294.8
1,-14.1022333,8.33445,14.5,293
1,-14.0312667,8.31518333,14.8,291
1,-14.0870333,8.33545,14.5,295.4
1,-14.0922167,8.3316,14.5,291
1,-14.0175167,8.31535,12.9,291
1,-14.0518167,8.32511667,14,295.2
1,-13.9928,8.30766667,15,291
1,-14.0434167,8.32248333,15.2,294
1,-14.0174,8.3115,14.7,291
1,-14.0907167,8.3312,14.5,292
1,-14.05235,8.3208,14.7,291
1,-14.0797167,8.33235,14.8,293
1,-14.0464,8.32355,13.9,296.5
1,-14.0169167,8.31446667,15.2,294
1,-14.0704667,8.32565,14.6,292
1,-14.05905,8.3272,14.1,294.5
1,-14.055,8.32153333,14.7,292
1,-14.0634833,8.32385,14.7,291
1,-14.0718667,8.32605,14.6,292
1,-14.0546333,8.32143333,14.7,291
1,-14.0405333,8.32165,12.9,290
1,-14.0191667,8.3158,12.9,291
1,-14.0937333,8.33198333,14.5,291
1,-14.0141667,8.31448333,12.9,291
1,-14.0580333,8.32238333,14.6,292
1,-14.0307167,8.31915,12.9,293
1,-14.06994,8.32897833,14.6,292.4
1,-14.0296167,8.318,14.9,293
1,-14.0531833,8.32551667,13.8,294.4
2,-14.281,8.38933333,14.1,293
2,-14.30865,8.39443333,15.9,293.9
2,-14.4166,8.4246,16.2,290
2,-14.3673,8.40935,14.8,291
2,-14.3037,8.39296667,15.9,293.6
2,-14.2432167,8.37793333,12.2,293
2,-14.2905,8.392,14.3,292
2,-14.3884,8.41495,14.7,291
2,-14.2128867,8.36924,12.8,293.5
2,-14.2988,8.39153333,15.9,293.2
2,-14.2665167,8.38451667,12.3,292
2,-14.3835667,8.42091667,14.7,295
2,-14.22826,8.37454,12.5,292.6
2,-14.3008333,8.39483333,14.3,293
2,-14.3028833,8.39186667,14.8,294
2,-14.3018333,8.39516667,14.3,293
2,-14.3917667,8.42333333,14.6,293
2,-14.4376333,8.43,16.3,291
2,-14.29075,8.38826667,14.8,292
2,-14.251185,8.374315,12.7,290.4
2,-14.3514617,8.40528833,14.3,291.1
2,-14.3614033,8.40784833,14.1,292.2
2,-14.2964167,8.38988333,14.8,294
2,-14.2671383,8.379065,12.8,293.9
2,-14.4380667,8.42431667,14.2,290.9
2,-14.4229833,8.42621667,16.3,290
2,-14.2623833,8.38006667,14.8,292
2,-14.2529333,8.3775,14.9,292
2,-14.39805,8.41996667,16.2,290
2,-14.2681083,8.379345,12.7,293.5
2,-14.2329167,8.37495,12.2,293
2,-14.2548333,8.37801667,14.8,292
2,-14.3536733,8.40586167,14.3,291.5
2,-14.3964667,8.41705,14.9,292
2,-14.4200833,8.42991667,17.6,291
2,-14.3880833,8.42226667,14.7,294
2,-14.2976833,8.39121667,15.9,293.3
2,-14.4114833,8.42331667,16.4,290
2,-14.30135,8.39226667,15.9,293.4
2,-14.24945,8.37388167,12.7,289.4
2,-14.4049167,8.41943333,14.8,292
2,-14.3916833,8.41836667,16.3,290
2,-14.27155,8.38595,12.2,292
2,-14.2244833,8.37258333,12.2,292
2,-14.32085,8.39795,16,293.4
2,-14.3205,8.40066667,14.5,295
2,-14.291225,8.38633667,12.7,296.1
2,-14.23884,8.3793,14.8,290.2
2,-14.2281833,8.37363333,12.2,292
2,-14.2386167,8.3766,12.2,293
2,-14.3955,8.41933333,16.3,290
2,-14.22826,8.37454,12.5,292.6
2,-14.2450633,8.38081167,14.9,290.9
2,-14.3315333,8.39984667,14.1,293.4
2,-14.3258333,8.3994,16,293.4
2,-14.315,8.399,14.3,294
2,-14.3183333,8.4,14.3,294
2,-14.4126833,8.42143333,14.7,291
2,-14.4287333,8.42766667,16.3,290
2,-14.26649,8.37887333,12.8,294.2
2,-14.3929667,8.41868333,16.3,290
2,-14.3233,8.39865,16,293.5
2,-14.3070167,8.3931,14.8,293
2,-14.3481467,8.40441667,14.1,291.7
2,-14.4329567,8.42443167,14.8,290.5
2,-14.207665,8.36858333,12.4,293.9
2,-14.3868167,8.41711667,16.2,291
2,-14.2304,8.37423333,12.2,292
2,-14.3246167,8.39905,16,293.5
2,-14.2863,8.39303333,15.2,294.9
2,-14.2517833,8.37718333,14.8,292
2,-14.25282,8.37476167,12.7,291.8
2,-14.2452667,8.38165,14.7,294.1
2,-14.3696417,8.41003,14.1,291.7
2,-14.2775167,8.38446667,14.9,294
2,-14.2786333,8.38481667,14.9,294
2,-14.2915667,8.38946667,16,293
2,-14.2797,8.38935,14.7,294
2,-14.2631933,8.37787,12.7,294.9
2,-14.24885,8.38265,14.7,293.7
2,-14.3656833,8.41036667,14.9,294
2,-14.2330317,8.37587667,12.5,293.2
2,-14.2891667,8.39166667,14.3,293
2,-14.4144833,8.41808333,14,291
2,-14.4018833,8.41861667,14.8,292
2,-14.437,8.42983333,16.3,291
2,-14.4031667,8.42125,16.3,290
2,-14.3936,8.41885,16.3,290
2,-14.36195,8.40801667,14.8,290
2,-14.2886667,8.3915,14.3,293
2,-14.2822,8.38575,11.9,291
2,-14.4112,8.41728333,14,290.6
2,-14.2633667,8.38438333,14.8,292
2,-14.3690967,8.40987833,14.1,292.4
2,-14.2821,8.38586667,14.8,294
2,-14.2831333,8.38598333,11.9,291
2,-14.2578,8.37881667,14.9,292
2,-14.2408,8.37725,12.2,293
2,-14.21126,8.36876833,12.8,293.3
2,-14.4401667,8.4307,16.3,292
2,-14.3993333,8.42028333,16.3,290
2,-14.2896667,8.39166667,14.4,292
2,-14.4155667,8.41836667,14,291.1
2,-14.26125,8.37975,14.8,292
2,-14.2398667,8.37696667,12.2,293
2,-14.3104167,8.39406667,14.8,292
2,-14.2781667,8.3885,13.9,293
2,-14.3469517,8.40409833,14.2,291.9
2,-14.2746167,8.3868,12.2,293
2,-14.3349667,8.4012,14.9,294
2,-14.4204167,8.42556667,16.3,290
2,-14.3987,8.42013333,16.2,290
2,-14.3630533,8.40828833,14.1,291.7
2,-14.2161367,8.37018,12.8,293.5
2,-14.2961,8.38938333,11.9,291
2,-14.2644833,8.38475,14.8,292
2,-14.3459367,8.40382667,14.2,292
2,-14.303,8.3955,14.3,292
2,-14.4357333,8.42948333,16.4,291
2,-14.2297667,8.37406667,12.3,292
2,-14.3878667,8.41738333,16.2,291
2,-14.2339833,8.3766,16.6,290
2,-14.30475,8.39243333,14.8,294
2,-14.25175,8.3804,12.2,293
2,-14.3880833,8.42226667,14.7,294
2,-14.4127667,8.42365,16.4,290
2,-14.4095833,8.41688333,14,290.4
2,-14.2539333,8.38101667,12.2,293
2,-14.3802667,8.41543333,16.3,290
2,-14.4312833,8.42831667,16.3,290
2,-14.2556,8.37823333,14.9,292
2,-14.3205183,8.396675,14.3,294.1
2,-14.2575867,8.37613167,12.6,293.8
2,-14.3745667,8.4113,14.8,292
2,-14.4297333,8.42215,14.1,291.7
2,-14.2813833,8.39163333,15.1,294.7
2,-14.214005,8.3704,12.5,293.6
2,-14.42745,8.42735,16.3,290
2,-14.3655333,8.40885,14.8,290
2,-14.3669333,8.41201667,16.3,290
2,-14.3872333,8.41723333,16.3,291
2,-14.3651917,8.412035,16.6,293
2,-14.2990333,8.3907,14.8,294
2,-14.2533,8.38083333,12.2,293
2,-14.24385,8.37811667,12.2,293
2,-14.2479,8.37933333,12.2,293
2,-14.3942333,8.41901667,16.2,290
2,-14.3160333,8.3956,14.9,292
2,-14.3370317,8.40140333,14.3,292.6
2,-14.2975333,8.39023333,14.8,294
2,-14.24135,8.3774,12.2,293
2,-14.4338333,8.42896667,16.4,291
2,-14.2941667,8.393,14.3,292
2,-14.2656783,8.37863333,12.8,294.6
2,-14.4382833,8.43016667,16.4,291
2,-14.3515833,8.40533333,14.8,290
2,-14.2573,8.38198333,12.2,292
2,-14.4006,8.4206,16.3,290
2,-14.2776667,8.38833333,14,293
2,-14.2338667,8.37605,14.8,293
2,-14.3641533,8.40857333,14.1,291.1
2,-14.3754167,8.41156667,14.8,292
2,-14.3063333,8.39373333,15.9,293.8
2,-14.3513667,8.40681667,15.8,293.9
2,-14.3638167,8.40843333,14.8,290
2,-14.4338333,8.43383333,14.6,293
2,-14.2691167,8.382,14.8,293
2,-14.2996667,8.3945,14.4,293
2,-14.2251133,8.37369667,12.4,293.3
2,-14.377935,8.41563667,16.6,292.4
2,-14.2707833,8.38283333,11.9,291
2,-14.3035,8.3955,14.3,293
2,-14.3299733,8.39940667,14.1,293
2,-14.2865,8.39083333,14.4,293
2,-14.2376833,8.37633333,12.2,293
2,-14.3525833,8.40718333,15.9,294.1
2,-14.2853333,8.3905,14.3,293
2,-14.2658833,8.38435,12.3,292
2,-14.2044633,8.36763167,12.5,293.4
2,-14.22755,8.37345,12.2,292
2,-14.3283233,8.39893833,14.3,293.4
2,-14.287,8.391,14,292
2,-14.3756833,8.41165,14.8,292
2,-14.4102,8.423,16.3,290
2,-14.3892,8.42258333,14.7,294
2,-14.39615,8.41948333,16.2,290
2,-14.2928,8.3898,16,293.1
2,-14.2832333,8.3862,14.8,293
2,-14.2918333,8.39233333,14.1,291
2,-14.3171833,8.39591667,14.9,292
2,-14.2428833,8.37868333,14.7,293
2,-14.2621667,8.38633333,15.3,295.4
2,-14.2564333,8.38173333,12.2,293
2,-14.3128333,8.39833333,14,294
2,-14.3742833,8.41123333,14.8,292
2,-14.28645,8.39131667,14.6,293
2,-14.3106667,8.39766667,14,294
2,-14.27535,8.38401667,11.8,290
2,-14.2550983,8.37539833,12.7,292.7
2,-14.3217133,8.39702667,14.6,293.5
2,-14.3661667,8.40901667,14.8,291
2,-14.2819133,8.38301667,12.7,295.9
2,-14.4118333,8.42118333,14.8,291
2,-14.2337667,8.3752,12.2,293
2,-14.2730333,8.38636667,12.2,292
2,-14.25385,8.37841667,11.9,290
2,-14.2330317,8.37587667,12.5,293.2
2,-14.3999667,8.42045,16.3,290
2,-14.2361167,8.37586667,12.2,293
2,-14.22575,8.37293333,12.2,292
2,-14.4038,8.42141667,16.3,290
2,-14.2953333,8.39333333,14.4,292
2,-14.3778667,8.41221667,14.8,291
2,-14.2948333,8.39316667,14.3,292
2,-14.2501333,8.38301667,14.7,294.2
2,-14.4018833,8.42091667,16.3,290
2,-14.2543867,8.37615667,14.9,292.6
2,-14.38175,8.41315,14.9,291
2,-14.2313333,8.3745,12.3,292
2,-14.2858333,8.39066667,14.4,293
2,-14.4045333,8.41561667,13.9,290.8
2,-14.4331833,8.4288,16.3,291
2,-14.2584,8.37958333,11.9,291
2,-14.3429667,8.40435,16,293.9
2,-14.2738667,8.38080333,12.6,289.2
2,-14.4050833,8.42173333,16.3,290
2,-14.3763167,8.41183333,14.8,292
2,-14.4309,8.43281667,17.6,292
