MMSI,Time,SOG,Longitude,Latitude,COG
3,19900101_052902,14.9,-14.1400833,8.28891667,114.5
2,19900101_052919,11.2,-13.9620833,8.23648333,116
1,19900101_052919,0,-14.6128333,8.36801,0.7
3,19900101_054820,14.5,-14.03205,8.25736667,113.8
3,19900101_054820,14.5,-14.03205,8.25736667,113.8
3,19900101_055621,14.3,-13.9881667,8.2446,113.9
5,19900101_055628,8.7,-13.8242367,8.218085,89.4
714,19900101_055714,16.5,-13.8628033,8.22528,77.2
2,19900101_055715,11.4,-13.8363167,8.22321667,89
1,19900101_055733,0,-14.6128167,8.36798167,9.7
4,19900101_055748,14.3,-14.0673333,8.32708333,292.4
2,19900101_055754,11.4,-13.8333,8.22323333,89
1,19900101_055833,0,-14.6128283,8.36794167,1.2
963,19900101_055841,19.4,-13.903615,8.2902,277.8
5,19900101_055848,8.7,-13.8157067,8.21818667,88.2
4,19900101_055848,14.3,-14.0728333,8.32856667,291.6
2,19900101_055954,11.5,-13.824,8.22318333,88
5,19900101_060108,8.8,-13.8071817,8.21849167,84.5
4,19900101_065919,13.9,-14.4045333,8.41561667,290.8
4,19900101_070007,14,-14.4090333,8.41673333,290.3
4,19900101_070012,14,-14.4095833,8.41688333,290.4
272,19900101_070017,0,-14.6124233,8.367055,348.6
4,19900101_070031,14,-14.4112,8.41728333,290.6
963,19900101_070035,19.1,-14.3622883,8.41671667,294.9
1,19900101_070039,0,-14.6128683,8.36792,173.1
471,19900101_070047,0,-14.6131783,8.36854,188.7
963,19900101_070048,19.1,-14.3638367,8.41721,295.3
4,19900101_070107,14,-14.4144833,8.41808333,291
1,19900101_070110,0,-14.6128533,8.36797,209.2
963,19900101_070111,19,-14.3664583,8.41806,295.7
4,19900101_070112,14,-14.4150167,8.41823333,291.1
963,19900101_070118,19.1,-14.3674167,8.41835,295.4
4,19900101_070118,14,-14.4155667,8.41836667,291.1
963,19900101_070136,19,-14.36932,8.41896667,295.2
963,19900101_070148,19.1,-14.3708933,8.419455,294.8
963,19900101_070212,19,-14.3736717,8.42028833,294.2
4,19900101_070237,14.1,-14.4227833,8.42023333,291.6
963,19900101_070248,19,-14.3781333,8.42161667,293.6
963,19900101_070300,19,-14.3794717,8.42199833,293.6
963,19900101_070336,19,-14.38408,8.42332833,293.6
4,19900101_070354,14.1,-14.4297333,8.42215,291.7
963,19900101_070418,19,-14.3891717,8.42479833,293.8
963,19900101_070436,19,-14.39135,8.42543333,293.9
4,19900101_070454,14.2,-14.4352,8.4236,291.4
4,19900101_070525,14.2,-14.4380667,8.42431667,290.9
963,19900101_070536,19,-14.3986083,8.427565,293.7
1,19900101_070540,0,-14.6128517,8.36797,355.1
963,19900101_070547,19,-14.3998167,8.42791833,293.7
963,19900101_070559,19,-14.4013933,8.42838167,294.1
1,19900101_070620,0,-14.61284,8.36797167,2.6
1,19900101_070659,0,-14.612845,8.36801167,351
963,19900101_070700,19.1,-14.4086483,8.43053667,293.6
963,19900101_070712,19.1,-14.4099767,8.43092833,293.4
1,19900101_070839,0,-14.6128533,8.36799833,353.3
4,19900101_070907,14.2,-14.4582833,8.4296,293.4
1,19900101_070920,0,-14.61286,8.36801667,350.3
4,19900101_070955,14.1,-14.4626333,8.43088333,293.8
963,19900101_071000,19.1,-14.4307283,8.436775,293.7
4,19900101_071001,14.2,-14.4631667,8.43105,293.9
1,19900101_071011,0,-14.612825,8.368,350.1
4,19900101_072147,14.4,-14.5283833,8.44991667,294.2
4,19900101_072147,14.4,-14.5283833,8.44991667,294.2
4,19900101_072200,14.4,-14.5295667,8.45026667,293.8
4,19900101_072200,14.4,-14.5295667,8.45026667,293.8
4,19900101_072312,14.4,-14.5361833,8.45216667,293.2
4,19900101_072312,14.4,-14.5361833,8.45216667,293.2
1,19900101_072333,0,-14.6128633,8.368045,20.3
1,19900101_072333,0,-14.6128633,8.368045,20.3
963,19900101_072353,19.2,-14.5338067,8.466505,292.3
963,19900101_072353,19.2,-14.5338067,8.466505,292.3
1,19900101_072413,0,-14.6128533,8.36801,9.5
1,19900101_072413,0,-14.6128533,8.36801,9.5
1,19900101_072533,0,-14.6128517,8.36802,16
1,19900101_072533,0,-14.6128517,8.36802,16
1,19900101_072633,0,-14.612875,8.368035,26.3
1,19900101_072633,0,-14.612875,8.368035,26.3
4,19900101_072636,14.3,-14.5548,8.45761667,294
4,19900101_072636,14.3,-14.5548,8.45761667,294
4,19900101_072648,14.1,-14.5558667,8.45793333,293.7
4,19900101_072648,14.1,-14.5558667,8.45793333,293.7
963,19900101_072718,19.2,-14.5589217,8.47354667,293.3
4,19900101_072724,14.1,-14.5590167,8.45886667,294.2
1,19900101_072733,0,-14.612835,8.36799167,21.9
4,19900101_073012,14.1,-14.5742,8.46328333,293.7
4,19900101_073112,14,-14.5795667,8.46486667,293.7
1,19900101_073133,0,-14.612865,8.36800833,14.2
963,19900101_073242,19.1,-14.59889,8.48424833,292.8
963,19900101_073430,19,-14.6121383,8.48787333,291.8
4,19900101_073437,14,-14.5977,8.47026667,294.3
1,19900101_073514,0,-14.6128567,8.368005,17.3
963,19900101_073530,19,-14.6193783,8.48982167,291.8
4,19900101_073712,14.1,-14.61155,8.47441667,294.6
1,19900101_080511,0,-14.61288,8.36804167,17.4
1,19900101_082833,0,-14.6128733,8.36800167,346.4
1,19900101_082854,0,-14.6128717,8.368005,342.4
905,19900101_082901,14.2,-14.0248,8.31668333,298.4
4,19900101_082906,13.8,-14.9007333,8.50893333,270.7
1,19900101_082914,0,-14.6128783,8.36799667,344.1
4,19900101_082918,13.9,-14.9018833,8.50895,271
905,19900101_082924,14.3,-14.0270833,8.31741667,298.9
4,19900101_082930,13.8,-14.90305,8.50896667,271.2
1,19900101_082933,0,-14.6128767,8.36799,343.6
905,19900101_082936,14.1,-14.02825,8.31778333,298.1
4,19900101_082945,13.9,-14.9044,8.509,271.6
905,19900101_083000,14.1,-14.03045,8.31848333,298.6
4,19900101_083006,13.8,-14.9064167,8.50905,272.2
905,19900101_083011,14.1,-14.0315,8.31881667,297.8
1,19900101_083014,0,-14.6128433,8.36796833,350.4
905,19900101_083023,14.2,-14.03265,8.31918333,297.8
4,19900101_083030,13.8,-14.9087167,8.50908333,271.9
1,19900101_083033,0,-14.61285,8.36799,337.6
905,19900101_083035,14.2,-14.0337667,8.31953333,298.2
4,19900101_083044,13.7,-14.91025,8.50911667,271.8
1,19900101_083114,0,-14.6128533,8.36799833,348.4
905,19900101_083123,14.1,-14.03835,8.321,297.7
1,19900101_083133,0,-14.612865,8.36803333,336.2
905,19900101_083136,14,-14.0395,8.32138333,297.8
4,19900101_083144,13.9,-14.916,8.50921667,271.2
1,19900101_083153,0,-14.6128667,8.36803833,341.3
1,19900101_083213,0,-14.61289,8.36802833,338.9
905,19900101_083223,14.3,-14.0442,8.32286667,297.3
905,19900101_083236,14.1,-14.0452333,8.32318333,297.5
905,19900101_083247,13.9,-14.0464,8.32355,296.5
1,19900101_083253,0,-14.6128533,8.367985,337.8
1,19900101_083314,0,-14.6129133,8.36803167,345.4
905,19900101_083324,14.4,-14.0498,8.32453333,294.9
4,19900101_083326,13.5,-14.9255667,8.50931667,269.9
1,19900101_083334,0,-14.6129033,8.36800833,338.2
4,19900101_083335,13.5,-14.9265167,8.50931667,269.3
4,19900101_083345,13.6,-14.9273667,8.5093,269.5
905,19900101_083346,14,-14.0518167,8.32511667,295.2
905,19900101_083348,13.9,-14.0522,8.32523333,295.2
1,19900101_083354,0,-14.6128733,8.36798667,338.7
905,19900101_083359,13.8,-14.0531833,8.32551667,294.4
905,19900101_083400,13.8,-14.0533833,8.32556667,294.4
4,19900101_083406,13.6,-14.92935,8.50928333,269.6
905,19900101_083412,14,-14.05445,8.32588333,295.6
1,19900101_083414,0,-14.612895,8.367995,335.5
4,19900101_083416,13.4,-14.9302833,8.50926667,269.4
4,19900101_083426,13.4,-14.9312,8.50928333,269.6
1,19900101_083434,0,-14.612835,8.36796833,342.7
4,19900101_083445,13.4,-14.9328833,8.50925,269.4
905,19900101_083445,14.4,-14.05775,8.32685,294.7
1,19900101_083453,0,-14.61285,8.36794333,344.6
905,19900101_083458,14.1,-14.05905,8.3272,294.5
905,19900101_083500,14.1,-14.05905,8.3272,294.5
4,19900101_083506,13.3,-14.9349167,8.50926667,270.1
905,19900101_083509,14.2,-14.0599,8.32745,294.5
905,19900101_083511,14.1,-14.0602,8.32753333,294.5
1,19900101_083513,0,-14.6129183,8.368,339.7
4,19900101_083515,13.3,-14.93575,8.50926667,269.8
4,19900101_083626,13.4,-14.9423833,8.50931667,271
1,19900101_083634,0,-14.61282,8.36796333,338.4
4,19900101_083636,13.4,-14.9432333,8.50931667,271.1
1,19900101_083644,0,-14.612855,8.36799833,342
4,19900101_083645,13.4,-14.9441667,8.50933333,271.3
905,19900101_083648,14.3,-14.06945,8.33025,295.5
1,19900101_083654,0,-14.61289,8.36801167,341.4
905,19900101_083659,14.3,-14.0706,8.33058333,294.8
