clusterIndex,Longitude,Latitude,SOG,COG,MedianDistance
0,-14.095878571428571,8.281862621428571,13.757142857142856,116.75714285714287,3540890.6267359913
0,-14.084514975000001,8.277636665,13.675,116.225,3538133.233361305
0,-14.07596233,8.2747425,13.660000000000002,115.04,3536601.251633283
0,-14.065513334782612,8.271029130434782,13.969565217391308,116.03478260869566,3534188.7230354734
0,-14.057701958333334,8.267460693333334,14.366666666666665,115.05,3532441.6504855766
0,-14.046254291666665,8.263389443333335,14.483333333333334,114.94166666666666,3529820.9000984826
0,-14.035341185714286,8.259447142857141,14.757142857142856,114.49999999999999,3527607.0762550253
0,-14.029367233333332,8.258629443333334,14.333333333333334,115.06666666666666,3526314.69069844
1,-13.995430957142855,8.308161905714286,15.171428571428573,291.87142857142857,3528858.0439099455
1,-14.003619042857142,8.310390477142859,14.657142857142858,292.57142857142856,3530457.785917198
1,-14.015689399999998,8.314013636363637,14.445454545454545,292.1818181818182,3532993.2230956703
1,-14.025900976470592,8.317023529411765,13.882352941176475,292.8235294117647,3535203.842151817
1,-14.035636468749999,8.319056250000001,14.181249999999999,292.125,3537099.0787970466
1,-14.045198236842106,8.322142982105264,14.152631578947368,292.85263157894735,3539084.8437355813
1,-14.055659417391308,8.324379709565218,14.26521739130435,293.0652173913044,3541038.536842501
1,-14.067894511764706,8.32633990117647,14.135294117647058,292.70000000000005,3543400.8745125886
1,-14.076058635294117,8.329694510588237,14.21764705882353,293.1647058823529,3545123.906176824
1,-14.087451249999999,8.3320920825,14.5375,291.91875,3547532.6553345337
1,-14.09625165,8.333999998333333,14.566666666666668,291.71666666666664,3549035.978460675
2,-14.205323325,8.367834585,12.475,293.79999999999995,3572328.0031962586
2,-14.214724375,8.370048125,12.4875,293.08750000000003,3574066.1582515556
2,-14.227012118181818,8.373702423636361,12.336363636363636,292.49090909090904,3576586.644656805
2,-14.235373147058823,8.376320785294114,12.999999999999998,292.45294117647063,3578169.6143091987
2,-14.246906993333331,8.378117221999998,13.493333333333332,292.3933333333333,3580434.0626628343
2,-14.25606089583333,8.379519514166665,13.479166666666664,292.49583333333334,3582064.7565148743
2,-14.266446660000003,8.382146166500002,13.415000000000001,292.93,3584167.791224728
2,-14.276279217647057,8.38504735352941,13.358823529411765,292.464705882353,3586178.400419927
2,-14.286181396000003,8.388970800400003,14.288000000000002,293.044,3588520.3104306776
2,-14.295269438888889,8.391389814444445,14.516666666666671,292.5333333333333,3590319.5933190933
2,-14.304863883333333,8.39410926,14.966666666666669,293.22777777777776,3592255.6528375996
2,-14.315980408333333,8.397019584166667,14.825000000000001,293.325,3594510.770918662
2,-14.326400489999997,8.399128835,14.8,293.48,3596488.338969172
2,-14.3373121,8.402196665,15.275,293.475,3598667.7825371204
2,-14.350373336363635,8.405280757272726,14.618181818181823,291.97272727272724,3601444.388386817
2,-14.3620574875,8.40837416625,14.724999999999998,290.75,3603786.079444885
2,-14.369556907142856,8.410687620000001,15.035714285714286,291.7214285714286,3605185.0696252664
2,-14.378708500000002,8.413808667000001,15.6,290.94,3607339.783063635
2,-14.38976135909091,8.419159849090907,15.422727272727276,291.90909090909093,3610000.7166985157
2,-14.400465624999999,8.41975625,15.856250000000006,290.425,3611714.3046870814
2,-14.41236904285714,8.420510712857142,14.97857142857143,290.5357142857143,3613758.6580785606
2,-14.424269989999999,8.426258334000002,16.12,290.53,3616517.494175752
2,-14.434926657142856,8.429148691428571,15.978571428571431,291.2714285714286,3618704.072110431
2,-14.4495667,8.43253333,14.7,291,3621623.974422659
